yearID,teamID,W,L,R,RA,H,HR,BB,SO,Win
1883,BSN,63,35,669,456,1010,34,123,423.0,1
1883,CHN,59,39,679,540,1000,13,129,399.0,1
1883,CL2,55,42,476,443,852,8,139,374.0,1
1883,DTN,40,58,524,650,931,13,166,378.0,0
1883,NY1,46,50,530,577,900,24,127,297.0,0
1883,PHI,17,81,437,887,859,3,141,355.0,0
1883,PRO,58,40,636,436,1001,21,149,309.0,1
1884,BL2,63,43,636,515,896,32,211,545.0,1
1884,BR3,40,64,476,644,845,16,179,417.0,0
1884,CL5,69,39,585,459,901,40,196,404.0,1
1884,CN2,68,41,754,512,1037,36,154,404.0,1
1884,IN2,29,78,462,755,890,20,125,560.0,0
1884,LS2,68,40,573,425,1004,17,146,408.0,1
1884,NY4,75,32,734,423,1052,22,203,315.0,1
1884,PH4,61,46,700,546,1057,26,153,425.0,1
1884,PT1,30,78,406,725,777,2,143,411.0,0
1884,RIC,12,30,194,294,325,7,53,284.0,0
1884,SL4,67,40,658,539,986,11,174,339.0,1
1884,TL1,46,58,463,571,859,8,157,541.0,0
1884,WS7,12,51,248,481,434,6,102,377.0,0
1884,BFN,64,47,700,626,1099,39,215,458.0,1
1884,BSN,73,38,684,468,1063,36,207,660.0,1
1884,CHN,62,50,834,647,1176,142,264,469.0,1
1884,CL2,35,77,458,716,934,16,170,576.0,0
1884,DTN,28,84,445,736,825,31,207,699.0,0
1884,NY1,62,50,693,623,1053,23,249,492.0,1
1884,PHI,39,73,549,824,934,14,209,512.0,0
1884,PRO,84,28,665,388,987,21,300,469.0,1
1884,ALT,6,19,90,216,223,2,22,130.0,0
1884,BLU,58,47,662,627,952,17,144,652.0,1
1884,BSU,58,51,636,558,928,19,128,787.0,1
1884,CHU,41,50,438,482,742,10,119,505.0,0
1884,CNU,69,36,703,466,1027,26,147,482.0,1
1884,KCU,16,63,311,618,557,6,123,529.0,0
1884,MLU,8,4,53,34,88,0,20,70.0,1
1884,PHU,21,46,414,545,618,7,103,405.0,0
1884,SLU,94,19,887,429,1251,32,181,542.0,1
1884,SPU,2,6,24,57,49,0,7,47.0,0
1884,WIL,2,16,35,114,91,2,22,123.0,0
1884,WSU,47,65,572,679,931,4,118,558.0,0
1885,BL2,41,68,541,683,837,17,279,529.0,0
1885,BR3,53,59,624,650,966,14,238,324.0,0
1885,CN2,63,49,642,575,1046,26,153,420.0,1
1885,LS2,53,59,564,598,986,19,152,448.0,0
1885,NY4,44,64,526,688,921,21,217,428.0,0
1885,PH4,55,57,764,691,1099,30,223,410.0,0
1885,PT1,56,55,547,539,955,5,189,537.0,1
1885,SL4,79,33,677,461,979,17,234,282.0,1
1885,BFN,38,74,495,761,980,23,179,380.0,0
1885,BSN,46,66,528,589,915,22,190,522.0,0
1885,CHN,87,25,834,470,1079,54,340,429.0,1
1885,DTN,41,67,514,582,917,25,216,451.0,0
1885,NY1,85,27,691,370,1085,16,221,312.0,1
1885,PHI,56,54,513,511,891,20,220,401.0,1
1885,PRO,53,57,442,531,820,6,265,430.0,0
1885,SL5,36,72,390,593,829,8,214,412.0,0
1886,BL2,48,83,625,878,945,8,379,603.0,0
1886,BR3,76,61,832,832,1261,16,433,523.0,1
1886,CN2,65,73,883,865,1225,45,374,633.0,0
1886,LS2,66,70,833,805,1294,20,410,558.0,0
1886,NY4,53,82,628,766,1047,18,330,578.0,0
1886,PH4,63,72,772,942,1142,21,378,697.0,0
1886,PT1,80,57,810,647,1171,16,478,713.0,1
1886,SL4,93,46,944,592,1365,20,400,425.0,1
1886,BSN,56,61,657,661,1085,24,250,537.0,0
1886,CHN,90,34,900,555,1223,53,460,513.0,1
1886,DTN,87,36,829,538,1260,53,374,426.0,1
1886,KCN,30,91,494,872,967,19,269,608.0,0
1886,NY1,75,44,692,558,1156,21,237,410.0,1
1886,PHI,71,43,621,498,976,26,282,516.0,1
1886,SL5,43,79,547,712,1001,30,235,656.0,0
1886,WS8,28,92,445,791,856,23,265,582.0,0
1887,BL2,77,58,975,861,1337,31,469,334.0,1
1887,BR3,60,74,904,918,1281,25,456,365.0,0
1887,CL3,39,92,729,1112,1170,14,375,463.0,0
1887,CN2,81,54,892,745,1285,37,382,366.0,1
1887,LS2,76,60,956,854,1420,27,436,356.0,1
1887,NY4,44,89,754,1093,1197,21,439,463.0,0
1887,PH4,64,69,893,890,1370,29,321,388.0,0
1887,SL4,95,40,1131,761,1550,39,442,340.0,1
1887,BSN,61,60,831,792,1255,53,340,392.0,1
1887,CHN,71,50,813,716,1177,80,407,400.0,1
1887,DTN,79,45,969,714,1404,55,352,258.0,1
1887,IN3,37,89,628,965,1080,33,300,379.0,0
1887,NY1,68,55,816,723,1259,48,361,326.0,1
1887,PHI,75,48,901,702,1269,47,385,346.0,1
1887,PIT,55,69,621,750,1141,20,319,381.0,0
1887,WS8,46,76,601,818,1039,47,269,339.0,0
1888,BL2,57,80,653,779,1068,19,298,479.0,0
1888,BR3,88,52,758,584,1177,25,353,439.0,1
1888,CL3,50,82,651,839,1076,12,315,559.0,0
1888,CN2,80,54,745,628,1161,32,345,555.0,1
1888,KC2,43,89,579,896,1000,19,288,604.0,0
1888,LS2,48,87,689,870,1177,14,322,604.0,0
1888,PH4,81,52,827,594,1209,31,303,473.0,1
1888,SL4,92,43,789,501,1189,36,410,521.0,1
1888,BSN,70,64,669,619,1183,56,282,524.0,1
1888,CHN,77,58,734,659,1201,77,290,563.0,1
1888,DTN,68,63,721,629,1275,51,307,396.0,1
1888,IN3,50,85,603,731,1100,34,236,492.0,0
1888,NY1,84,47,659,479,1149,55,270,456.0,1
1888,PHI,69,61,535,509,1021,16,268,485.0,1
1888,PIT,66,68,534,580,1070,14,194,583.0,0
1888,WS8,48,86,482,731,944,30,246,499.0,0
1889,BL2,70,65,791,795,1209,20,418,536.0,1
1889,BR3,93,44,995,706,1265,47,550,401.0,1
1889,CL6,60,78,779,924,1247,36,507,609.0,0
1889,CN2,76,63,897,769,1307,52,452,511.0,1
1889,KC2,55,82,852,1031,1256,18,430,626.0,0
1889,LS2,27,111,632,1091,1249,22,320,521.0,0
1889,PH4,75,58,880,787,1339,43,534,496.0,1
1889,SL4,90,45,957,680,1312,58,493,477.0,1
1889,BSN,83,45,826,626,1251,42,471,450.0,1
1889,CHN,67,65,867,814,1274,79,518,516.0,1
1889,CL4,61,72,656,720,1167,25,429,417.0,0
1889,IN3,59,75,819,894,1356,62,377,447.0,0
1889,NY1,83,43,935,708,1319,52,538,386.0,1
1889,PHI,63,64,742,748,1248,44,393,353.0,0
1889,PIT,61,71,726,801,1202,42,420,467.0,0
1889,WS8,41,83,632,892,1105,25,466,456.0,0
1890,BL3,15,19,182,192,278,2,125,152.0,0
1890,BR4,26,73,492,733,769,13,328,456.0,0
1890,CL6,79,55,831,617,1225,16,545,557.0,1
1890,LS2,88,44,819,588,1310,15,410,460.0,1
1890,PH4,54,78,702,945,1057,24,475,540.0,0
1890,RC2,63,63,709,711,1088,31,446,538.0,0
1890,SL4,78,58,870,736,1308,48,474,490.0,1
1890,SR2,55,72,698,831,1158,14,457,482.0,0
1890,TL2,68,64,739,689,1152,24,486,558.0,1
1890,BRO,86,43,884,620,1166,43,517,361.0,1
1890,BSN,76,57,763,593,1220,31,530,515.0,1
1890,CHN,83,53,847,692,1271,67,516,514.0,1
1890,CIN,77,55,753,633,1204,27,433,377.0,1
1890,CL4,44,88,630,832,1073,21,497,474.0,0
1890,NY1,63,68,713,698,1250,25,350,479.0,0
1890,PHI,78,53,823,707,1267,23,522,403.0,1
1890,PIT,23,113,597,1235,1088,20,408,458.0,0
1890,BFP,36,96,793,1199,1249,20,541,367.0,0
1890,BRP,76,56,964,893,1354,34,502,369.0,1
1890,BSP,81,48,992,767,1306,54,652,435.0,1
1890,CHP,75,62,886,770,1311,31,492,410.0,1
1890,CLP,55,75,849,1027,1373,27,509,345.0,0
1890,NYP,74,57,1018,875,1393,66,486,364.0,1
1890,PHP,68,63,941,855,1348,49,431,321.0,1
1890,PTP,60,68,835,892,1192,35,569,375.0,0
1891,BL3,71,64,850,798,1217,30,551,553.0,1
1891,BS2,93,42,1028,675,1341,52,651,499.0,1
1891,CL6,61,76,702,777,1113,20,529,530.0,0
1891,CN3,43,57,549,643,838,28,428,385.0,0
1891,LS2,54,83,713,890,1247,17,443,473.0,0
1891,ML3,21,15,227,156,332,13,107,114.0,1
1891,PH4,73,66,817,794,1301,55,447,548.0,1
1891,SL4,85,51,976,753,1330,58,625,440.0,1
1891,WS9,44,91,691,1067,1183,19,468,485.0,0
1891,BRO,61,76,765,820,1233,23,464,435.0,0
1891,BSN,87,51,847,658,1264,54,532,538.0,1
1891,CHN,82,53,832,730,1233,60,526,457.0,1
1891,CIN,56,81,646,790,1158,40,414,439.0,0
1891,CL4,65,74,835,888,1294,22,519,464.0,0
1891,NY1,71,61,754,711,1271,46,438,394.0,1
1891,PHI,68,69,756,773,1244,21,482,412.0,0
1891,PIT,55,80,679,744,1148,29,427,503.0,0
1892,BLN,46,101,779,1020,1342,30,499,480.0,0
1892,BRO,95,59,935,733,1439,30,629,506.0,1
1892,BSN,102,48,862,649,1324,34,526,488.0,1
1892,CHN,70,76,635,735,1188,26,427,482.0,0
1892,CIN,82,68,766,731,1288,44,503,474.0,1
1892,CL4,93,56,855,613,1375,26,552,536.0,1
1892,LS3,63,89,649,804,1208,18,433,508.0,0
1892,NY1,71,80,811,826,1326,39,510,469.0,0
1892,PHI,87,66,860,690,1420,50,528,515.0,1
1892,PIT,80,73,802,796,1288,38,435,453.0,1
1892,SLN,56,94,703,922,1187,45,607,491.0,0
1892,WAS,58,93,731,869,1245,37,529,553.0,0
1893,BLN,60,70,820,893,1281,27,537,323.0,0
1893,BRO,65,63,775,845,1200,45,473,296.0,1
1893,BSN,86,43,1008,795,1358,65,561,292.0,1
1893,CHN,56,71,829,874,1299,32,465,262.0,0
1893,CIN,65,63,759,814,1195,29,532,256.0,1
1893,CL4,73,55,976,839,1425,32,532,229.0,1
1893,LS3,50,75,759,942,1185,19,485,306.0,0
1893,NY1,68,64,941,845,1424,61,504,279.0,1
1893,PHI,72,57,1011,841,1553,80,468,335.0,1
1893,PIT,81,48,970,766,1447,37,537,273.0,1
1893,SLN,57,75,745,829,1288,10,524,251.0,0
1893,WAS,40,89,722,1032,1260,23,524,237.0,0
1894,BLN,89,39,1171,819,1647,33,516,200.0,1
